pageid	primary_platform	platforms
641817	sega mega drive/genesis	amiga,amiga cd32,apple ii,apple iigs,atari st,commodore 64,macintosh,amstrad cpc,nintendo entertainment system,pc booter,sega genesis,windows 3.1x
643985	sega saturn	cd-i,macintosh,playstation,sega saturn,ms-dos
644006	ms-dos	ms-dos
646717		
648512	nintendo gamecube	playstation 2,nintendo gamecube,xbox (console)
651536	nintendo gamecube	gamecube
651944	playstation 2	playstation 2,microsoft windows
652349	zx spectrum	zx spectrum
652414	zx spectrum	zx spectrum,bbc micro,commodore 64,amstrad cpc
652424	zx spectrum	zx spectrum,bbc micro,commodore vic-20
652446	zx spectrum	zx spectrum
652907	playstation	playstation (console)
653513	apple macintosh	mac os 9,microsoft windows
653517	microsoft windows	microsoft windows
653520	microsoft windows	microsoft windows
653522	ios game	microsoft windows,mac os x,ios
653525	ms-dos	amiga,atari st,dos
654030	ms-dos	microsoft windows,mac os,ms-dos,ios,android (operating system)
654818	playstation 2	mac os,microsoft windows,playstation 2,xbox (console)
655035	ms-dos	dos
655533	nintendo 64	nintendo 64,microsoft windows,xbox one
658717	sega saturn	arcade game,sega saturn,ibm pc compatible,n-gage (device),game boy advance,playstation 2
659330	microsoft windows	windows 95,windows 98,windows me,windows 2000,windows xp,windows vista,windows 7,windows 8,windows 8.1,windows 10
659780	nintendo gamecube	playstation 2,xbox,gamecube,microsoft windows,macintosh,game boy advance
660723		
661609	apple macintosh	microsoft windows,mac os,ios,android (operating system),windows phone
661659	playstation 2	microsoft windows,playstation 2,xbox (console)
662987	xbox	mac os x,microsoft windows,xbox (console)
663564	game boy advance	game boy advance
663954	linux game	linux,microsoft windows
667316	zx spectrum	zx spectrum,bbc micro,amstrad cpc,msx
667828	mac os x	microsoft windows,mac os x
667919	nintendo gamecube	playstation 2,xbox (console),gamecube,microsoft windows
668164	playstation	amiga,amiga cd32,dos,playstation (console),microsoft windows
668752	super nintendo entertainment system snes	super nes
668765	super nintendo entertainment system	super nintendo entertainment system
670501	nintendo entertainment system	nintendo entertainment system
672754	nintendo 64	nintendo 64
673373	sega saturn	dos,microsoft windows,mac os,sega saturn,playstation (console)
673376	ms-dos	ms-dos,linux
673387	ms-dos	ms-dos
675482	apple macintosh	microsoft windows,macos
676669	nintendo game boy	game boy
676951	nintendo gamecube	game boy advance,gamecube,microsoft windows,playstation (console),playstation 2,xbox (console)
677751	playstation 3	microsoft windows,playstation 3,xbox 360
678205	commodore 64	amiga,commodore 64,ms-dos,nintendo entertainment system,sharp x68000
679791	sega dreamcast	arcade game,dreamcast,playstation portable
680676	playstation 2	playstation 2,game boy advance
680678	nintendo gamecube	playstation 2,gamecube
681685	apple macintosh	microsoft windows,mac os,playstation portable
683979	ms-dos	amiga,atari st,dos
684046	sega dreamcast	arcade game,dreamcast,microsoft windows,playstation 2,game boy advance
684051	playstation 2	arcade game,playstation 2,microsoft windows,xbox (console)
685131		
689398	atari 8-bit	atari 8-bit
689964	sega saturn	ms-dos,microsoft windows,playstation (console),sega saturn
690099	sega saturn	ms-dos,mac os,playstation (console),sega saturn
690123	sega mega drive/genesis	sega genesis,game gear,master system
692503	nintendo entertainment system nes	nes,playstation (console),mobile phone
692707	microsoft windows	microsoft windows
693082	sega mega drive/genesis	sega genesis,sega game gear,sega master system,ios
694414	ms-dos	amiga,dos,mac os
695473	arcade game	arcade game,dig dug
695734	atari 2600	arcade game,atari 2600,atari 5200,atari 8-bit family,commodore 64,sega game gear
697366	game boy advance	super nintendo entertainment system,game boy advance
697403	zx spectrum	arcade game,apple ii,amiga,atari 2600,atari 7800,atari st,acorn electron,amstrad cpc,bbc micro,commodore 64,nintendo entertainment system,msx,pc booter,zx spectrum
699453	apple ii	apple ii,trs-80 color computer,dos
700040	linux game	microsoft windows,linux
700058	playstation 2	playstation 2,microsoft windows
700460	playstation	playstation (console)
702214	super nintendo entertainment system	super nintendo entertainment system
703033	nintendo entertainment system	nintendo entertainment system
703107	playstation	playstation
704136	nintendo wii	arcade game,wii,xbox (console),microsoft windows,playstation 3,playstation network
705072	nintendo wii	nintendo entertainment system,msx,super nintendo entertainment system,game boy color,mobile phone,wii,android (operating system),ios
705327	super nintendo entertainment system	super nintendo entertainment system
705831	sega saturn	playstation (console),playstation 2,playstation portable,sega saturn,microsoft windows,personal computer,macintosh
706391	game boy advance	game boy advance
706602	sega mega drive/genesis	super nintendo entertainment system,sega genesis
707510	sega mega drive/genesis	arcade game,amiga,fm towns,pc dos,sharp x68000,playstation (console),sega saturn,sega genesis,super nintendo entertainment system
707599	sega saturn	arcade game,playstation (console),sega saturn
707775	microsoft windows	microsoft windows,os x
709233	sega dreamcast	dreamcast,pc,playstation,playstation 2
710713	microsoft windows	microsoft windows
713315	microsoft windows	microsoft windows
714400	microsoft windows	microsoft windows
715317	apple ii	arcade game,apple ii,atari 2600,commodore 64,ms-dos,nintendo entertainment system
716485	playstation 2	microsoft windows,mac os,playstation 2
718025	playstation	arcade game,amiga,atari falcon,atari jaguar,atari lynx,ms-dos,turbografx-16,playstation,mobile phone,microsoft windows
719116	apple ii	apple ii
720474	game boy advance	game boy advance
722046	ms-dos	amiga,ms-dos,apple macintosh,nec pc-9801
722680	arcade game	arcade game
723308	playstation	arcade game,nintendo entertainment system,playstation (console)
723319	arcade game	arcade game
723549	apple macintosh	mac os,microsoft windows
723646	ms-dos	amiga,atari st,ms-dos,macintosh,ios,microsoft windows
723910	playstation 2	playstation 2,microsoft windows,xbox (console)
724196	apple macintosh	linux,microsoft windows,macos,java applet,symbian,gp2x,freebsd,netbsd,windows phone 7,android (operating system)
725215	game boy color	game boy color
726860	zx spectrum	amiga,amstrad cpc,atari st,commodore 64,dos,zx spectrum
727748	xbox 360	microsoft windows,xbox (console),xbox 360
728200	apple macintosh	windows 3.1x,apple macintosh
728589	atari 2600	arcade game,atari 8-bit family,atari 2600,colecovision,commodore 64,vic-20
728713	ms-dos	personal computer,dos,microsoft windows
729096	ms-dos	dos
729201	ms-dos	dos,apple macintosh
730131	super nintendo entertainment system snes	snes
732107	nintendo gamecube	game boy advance,playstation 2,xbox (console),gamecube
732489		
732780	nintendo gamecube	playstation 2,gamecube,xbox (console),game boy advance,mobile phone,microsoft windows
735572	super nintendo entertainment system	super nintendo entertainment system
736135	playstation 2	playstation 2
736173	nintendo 64	playstation (console),microsoft windows,game boy color,dreamcast,macintosh,game boy advance,nintendo 64,xbox (console),ios
737123	zx spectrum	zx spectrum,bbc micro,amstrad cpc,msx,famicom disk system
737147	nintendo 64	nintendo 64
737298	playstation 2	playstation 2,playstation network
737579	atari 2600	arcade game,atari 2600,xbox live arcade
738351	ms-dos	ms-dos,windows 95
739082	microsoft windows	microsoft windows
739128	mac os x	microsoft windows,macintosh
739177	playstation 2	arcade game,playstation 2
739179	playstation 2	arcade game,playstation (console),playstation 2,playstation network,zeebo,verizon wireless
739181	playstation 2	arcade game,playstation (console),playstation 2
739182	playstation 3	arcade game,playstation 2,playstation 3
739183	game boy advance	game boy advance
739184	playstation 2	arcade game,playstation 2
739195	nintendo game boy	playstation (console),game boy,dos,microsoft windows
739196	playstation	playstation (console),microsoft windows,game boy color,playstation network
739197	playstation 3	xbox (console),game boy advance,microsoft windows,onlive,playstation 2,playstation 3,playstation vita,personal computer,os x,ios,android (operating system)
739711	sega mega drive/genesis	sega mega drive,sega mega-cd,microsoft windows,sega game gear,sega master system,game boy advance,nintendo 3ds
739817	ms-dos	ms-dos,amiga
740213	sega mega drive/genesis	sega genesis,sega cd,sega master system,game gear,virtual console,cloud computing,onlive,steam (software)
740214	sega dreamcast	dreamcast,playstation 2
740343		
740344	microsoft windows	microsoft windows
742087	nintendo gamecube	arcade game,nintendo gamecube
742259	game boy advance	game boy advance
743390		
744152	nintendo gamecube	arcade game,gamecube,playstation 2,xbox (console),playstation 3,xbox 360
744435	nintendo entertainment system nes	acorn electron,amiga,amstrad cpc,apple ii,atari 8-bit,atari st,bbc micro,commodore 16,commodore 64,game boy,game boy color,msx,nes,sega master system,sharp x1,zx spectrum,ios
744883	sega mega drive/genesis	sega genesis,virtual console,microsoft windows,cloud computing,onlive
745045	sega mega drive/genesis	sega genesis,super nintendo entertainment system,ms-dos,sega saturn,playstation (console),game boy advance,nintendo wii
745979	microsoft windows	microsoft windows
746221	arcade game	arcade game,xevious
746260	nintendo famicom	epoch cassette vision,ios,msx,pc-6001,pc-8801,family computer,palm os,x1 (computer),game gear,wii,virtual console,windows phone
746569	arcade game	arcade game
746743	sega mega cd	amiga,dos,pc-9801,mac os,sega cd
746759	commodore amiga	amiga,atari st,x68000,nec pc-9801,fm towns
746910	mac os x	microsoft windows,mac os x
747041	apple macintosh	beos,linux,dec alpha,powerpc,sparc,x86,mac os,microsoft windows
747627	microsoft windows	microsoft windows
748364	arcade game	arcade game,robotron: 2084
748893	playstation 2	xbox (console),playstation 2,microsoft windows
753132	playstation 2	playstation 2,xbox (console),microsoft windows,playstation network
753337	microsoft windows	microsoft windows
754820	apple ii	apple ii,ms-dos
756296	sega saturn	playstation (console),sega saturn,xbox live arcade,playstation network,playstation portable
756812	playchoice-10	nintendo entertainment system,playchoice-10
756993	playchoice-10	nintendo entertainment system,playchoice-10
756999	nintendo game boy	game boy
757007	sega mega drive/genesis	nintendo entertainment system,playchoice-10,sega genesis,xbox one
757256	apple ii	apple ii,mac os,ms-dos,amstrad cpc,atari st,pc-88,pc-98
758704	playstation 2	xbox (console),microsoft windows,playstation 2,os x
759888	atari 2600	arcade game,commodore 64,nintendo entertainment system,magnavox odyssey,colecovision,atari 2600,atari 5200
759977	microsoft windows	microsoft windows
760191	nintendo ds	nintendo entertainment system,playstation (console),nintendo ds,android (operating system),ios
760411	nintendo gamecube	gamecube,xbox (console),playstation (console),playstation 2,game boy advance,tapwave zodiac,mac os x,microsoft windows
761808	commodore amiga	amiga
762019	xbox 360	xbox 360,microsoft windows,mac os x
762278		
762932	playstation 3	amiga,amiga cd32,amiga advanced graphics architecture,ibm pc compatible,atari jaguar,super nintendo entertainment system,ios,playstation portable,playstation 3,meego
763822	apple ii	amiga,amstrad cpc,amstrad pcw,apple ii family,atari 8-bit family,atari st,commodore 64,ms-dos
765332	arcade game	arcade game
765624	nintendo game boy	game boy
765766	xbox	microsoft windows,xbox (console)
765936	microsoft windows	microsoft windows
766362	commodore amiga	amiga,pc
766442	playstation 2	arcade game,playstation 2
767697	arcade game	arcade game
771137	game boy advance	game boy advance,mobile phone
771418	nintendo game boy	game boy,nintendo entertainment system,game boy color,virtual console
772324	arcade game	arcade game
772635	ms-dos	dos,mac os,windows
772680	commodore 64	commodore 64,atari 8-bit family
772725	apple ii	atari 8-bit family,apple ii,commodore 64,amiga,macintosh,ibm pc,ms-dos
772871	nintendo 3ds	nintendo entertainment system,nintendo 3ds
773215	nintendo super famicom	nintendo entertainment system,msx,pc-9801,x68000,super famicom,satellaview,game boy color,mobile phone,wii,android (operating system),ios
773247	microsoft windows	microsoft windows
773468	nintendo ds	nintendo ds
779046	xbox	microsoft windows,xbox (console),android (operating system),ios
779157	ms-dos	ms-dos,personal computer
779519	ms-dos	dos,video game genre,first-person shooter,role-playing game,first-person shooter,role-playing game,david w. bradley,origin systems,electronic arts,cyberpunk
782359	microsoft windows	microsoft windows
787003	sega saturn	arcade game,playstation (console),sega saturn
788218	ms-dos	ms-dos
789063		
789212	apple ii	apple ii family,arcade game,atari 5200,atari 7800,atari 8-bit family,colecovision,commodore 64,commodore vic-20,msx,nintendo entertainment system,sega master system,fujitsu fm-7
790288	sega saturn	arcade game,playstation (console),playstation 2,sega saturn,super nintendo entertainment system,microsoft windows
790330	apple ii	amiga,3do interactive multiplayer,acorn archimedes,amiga cd32,amiga cdtv,apple iigs,apple iie,atari st,commodore 64,ms-dos,fm towns,nintendo entertainment system,mac os,pc-9800 series,x68000,microsoft windows
791900	ios game	microsoft windows,macintosh,ios (apple)
794013	microsoft windows	microsoft windows
794141	zx spectrum	atari 8-bit family,apple ii,commodore 64,zx spectrum
794624	turbografx	turbografx-16
794869	linux game	microsoft windows,os x,linux
796252	sega saturn	microsoft windows,system 7,game boy advance,3do interactive multiplayer,sega saturn,playstation (console)
797152	microsoft windows	microsoft windows,chrome os
797479	zx spectrum	arcade game,amiga,amstrad cpc,commodore 64,zx spectrum,dos,nintendo entertainment system
797741	linux game	microsoft windows,os x,linux
797811	donkey kong jr.	donkey kong jr.
797989	microsoft windows	microsoft windows
798009	apple macintosh	mac os,microsoft windows
798591	apple macintosh	microsoft windows,windows 3.1x,os/2 warp 4,windows 95,apple macintosh,super nintendo entertainment system
798645		
798851	playstation 2	playstation 2,macos,mac os,microsoft windows,playstation portable
799662	apple ii	amiga,apple iigs,atari st,ms-dos,x86,super nintendo entertainment system,turbografx-cd,sharp x68000,pc-9801,fm towns
799702	ms-dos	amiga,dos
799790	xbox	xbox (console)
799888	xbox	xbox (console)
800153	arcade game	arcade game
800826	sega mega drive/genesis	amiga,atari st,3do interactive multiplayer,apple iigs,atari jaguar,mac os,ms-dos,sega cd,sega genesis,super nintendo entertainment system,ios,linux,android (operating system),microsoft windows,nintendo 3ds,os x,playstation 3,playstation 4,playstation vita,symbian,wii u,windows mobile,xbox one
801404	arcade game	arcade game
801841		
803423	ms-dos	dos,microsoft windows,macintosh
803561	apple macintosh	microsoft windows,windows 3.1x,mac os
803584	microsoft windows	microsoft windows,windows 95,windows 98,windows me
803849	pc game	pc
803898	sega dreamcast	microsoft windows,dreamcast
805699	nintendo famicom	family computer disk system,nintendo entertainment system,microsoft windows
806891	microsoft windows	microsoft windows
807068	nintendo wii	commodore 64,amiga,atari st,acorn archimedes,c64 direct-to-tv,virtual console,ios
808450		
810810	game boy advance	game boy advance
811640	nintendo wii	nintendo entertainment system,playchoice-10,virtual console
811720	arcade game	arcade game
815042	nintendo 64	game boy,game boy advance,nintendo 64,nintendo ds,nintendo gamecube
815049	nintendo ds	gamecube,nintendo ds,mobile phones
815085	nintendo gamecube	gamecube
815100	nintendo gamecube	playstation 2,gamecube,xbox (console)
816434	playstation	microsoft windows,playstation (console)
820698	commodore amiga	amiga,atari st
821601	ms-dos	amiga,atari ste,ms-dos
824786	nintendo gamecube	playstation 2,gamecube,xbox (console)
825683		
831106	sega dreamcast	dreamcast,playstation,playstation 2,windows
831399	ms-dos	dos
834197	xbox	xbox (console)
834307	sega mega drive/genesis	sega genesis,sega cd,game gear,master system
834433	arcade game	arcade game
838177	nintendo wii	game boy advance,virtual console
840351	microsoft windows	microsoft windows
840544	microsoft windows	windows 9x
841218	sega saturn	sega saturn
842212	sega mega drive/genesis	sega mega drive/genesis
843326	sega dreamcast	dreamcast,pc,psp,playstation,playstation portable,windows
846968	playstation 2	playstation 2,xbox (console),mobile phone,microsoft windows,game boy advance
847429	playstation	game boy color,ios,macintosh,microsoft windows,playstation (console)
847507	sega saturn	arcade game,sega saturn,microsoft windows,playstation network,xbox 360,xbox live arcade
847948	microsoft windows	microsoft windows
848096	arcade game	arcade game
848794	nintendo ds	playstation 2,playstation portable,nintendo ds,microsoft windows
850567	microsoft windows	microsoft windows
851261	nec pc-88	msx,nec pc-8801,sharp x1
851696	sony psp	playstation portable
852368	apple ii	amiga,amstrad cpc,amstrad pcw,apple ii family,apricot pc,atari 8-bit family,atari st,commodore 64,cp/m,dec rainbow,kaypro ii,apple macintosh,nec apc,osborne 1,ms-dos,pc-9800 series,ti-99/4a,trs-80
854715	mac os x	microsoft windows,mac os x
857271	microsoft windows	microsoft windows
857280	commodore amiga	amiga,ibm pc clone,amiga cd32,os android (page does not exist)
859266	playstation 2	arcade game,playstation,playstation 2
859845	nec pc-98	nec pc-9801,microsoft windows
859849	microsoft windows	microsoft windows
859921	arcade game	arcade game
860080	arcade game	arcade game
861224	playstation	dos,macintosh,playstation (console)
861270	nintendo entertainment system	nintendo entertainment system
861370	apple ii	amiga,apple iigs,apple macintosh,ms-dos,ios
861670	nintendo ds	nintendo ds
862303	sega saturn	arcade game,nintendo entertainment system,turbografx-16,xbox (console),playstation 2,playstation (console),sega saturn,playstation portable,xbox one
863389	mac os x	microsoft windows,macintosh
864084	sega saturn	arcade game,sega saturn
864658	apple ii	arcade game,atari 2600,atari 8-bit family,trs-80 color computer,commodore 64,msx,apple ii,nintendo entertainment system,trs-80,tomy tutor
864664	atari 2600	arcade game,atari 2600,msx,colecovision
865544	arcade game	arcade game
865552	atari 2600	arcade game,atari 2600,commodore 64,dos
865560	zx spectrum	amiga,amstrad cpc,atari lynx,atari st,commodore 64,nintendo entertainment system,ios devices,msx,turbografx-16,virtual console,x68000,zx spectrum
865747	ms-dos	dos,windows
866106	arcade game	arcade game,neo geo (console),ios,android (operating system)
867311	microsoft windows	microsoft windows
867510	microsoft windows	microsoft windows
867841	microsoft windows	microsoft windows,os x
867857	apple macintosh	mac os,mac os x,microsoft windows
868126	pc game	microsoft windows,unix,mac os x,beos
869689		
869690	zx spectrum	commodore 64,colecovision,msx,zx spectrum
869691	zx spectrum	apple ii,atari 8-bit,colecovision,commodore 64,ms-dos,msx,zx spectrum
869695	colecovision	colecovision,msx
869724	colecovision	colecovision
869942	atari 2600	atari 2600
870493	super nintendo entertainment system snes	arcade game,3do interactive multiplayer,amiga,apple iigs,philips cd-i,jaguar cd,macintosh,ms-dos,atari st,sega cd,dvd player,blu-ray,wii,dsiware,ios,playstation 3,android (operating system),steam (software),snes
870583	xbox 360	xbox 360
870674	super nintendo entertainment system	super nintendo entertainment system
871837	nintendo gamecube	nintendo gamecube,playstation 2,playstation 3,microsoft windows
872798	nintendo gamecube	playstation 2,xbox (console),gamecube,microsoft windows,mobile game,os x
873230	nintendo entertainment system nes	arcade game,game boy,msx,nes
873836	nintendo game boy	game boy,virtual console
875392	xbox	xbox (console)
875467	mac os x	microsoft windows,macintosh
875529	nintendo gamecube	playstation 2,xbox (console),gamecube,macos,microsoft windows
876353	playstation	personal computer,playstation (console)
876434	zx spectrum	amstrad cpc,atari st,amiga,ms-dos,zx spectrum,nintendo entertainment system
876512	ms-dos	dos,microsoft windows,os/2
877420	playstation 4	microsoft windows,os x,linux,xbox (console),playstation 2,playstation 4
877745	zx spectrum	arcade game,amstrad cpc,commodore 64,nintendo entertainment system,mobile phones,msx,personal computer,turbografx-16,playstation 3,playstation network,playstation portable,playstation network,playstation vita,playstation network,virtual console,x68000,zx spectrum
878616	data general nova	sds sigma series,hp 2100,data general nova
878639	magnavox odyssey2	philips,videopac,magnavox odyssey,united states
879184	microsoft windows	microsoft windows
879280	mac os x	microsoft windows,mac os x
879577	ms-dos	ms-dos
879817	nintendo 64	playstation 2,playstation (console),game boy color,gamecube,xbox (console),game boy advance,microsoft windows,nintendo 64,mac os
883527	playstation 2	arcade game,playstation 2
884001	apple macintosh	mac os classic
884570	playstation 4	playstation 2,playstation 4
885480	nintendo entertainment system	nintendo entertainment system
885483	nintendo entertainment system	nintendo entertainment system
885492	sega mega drive/genesis	nintendo entertainment system,super nintendo entertainment system,sega genesis,sega mega-cd,master system,sega game gear,atari lynx,amiga,dos
885505	nintendo entertainment system	nintendo entertainment system
885515	nintendo wii	arcade game,apple ii,commodore 64,nintendo entertainment system,virtual console,ios
885919	nintendo gamecube	playstation 2,gamecube
887144	nintendo 64	nintendo 64
887441	playstation 4	playstation 2,playstation 4
888634	atari 2600	atari 2600
889116	playstation 2	playstation 2
889941	nintendo entertainment system	nintendo entertainment system
890261	microsoft windows	microsoft windows
891490	arcade game	arcade
892138	apple ii	arcade game,apple ii,atari 2600,atari 5200,ibm pc,atari 8-bit,colecovision,commodore 64,vic-20
892630	sega saturn	nec pc-9801,3do interactive multiplayer,playstation (console),sega saturn
892912	playchoice-10	nintendo entertainment system,playchoice-10
893613	playstation	microsoft windows,playstation (console)
893768	playstation	microsoft windows,playstation (console)
893770	mac os x	microsoft windows,mac os x leopard
895608	nintendo ds	playstation 2,xbox (console),gamecube,nintendo ds
895994	nintendo 64	nintendo 64
896695	magnavox odyssey2	philips,videopac,magnavox odyssey,united states
896723	magnavox odyssey2	philips,videopac,magnavox odyssey
897219	xbox 360	microsoft windows,xbox 360
897728	arcade game	arcade game
898716	arcade game	arcade game
899737	sega dreamcast	arcade game,amiga,amiga cd32,pc dos,3do interactive multiplayer,dreamcast,game boy advance,playstation (console),sega saturn,playstation 2
899781	sega mega drive/genesis	ms-dos,sega genesis
900424	zx spectrum	arcade game,amstrad cpc,atari st,commodore 64,nintendo entertainment system,zx spectrum
901173	playstation 2	microsoft windows,playstation 2,playstation portable,mobile phone
901696	apple macintosh	microsoft windows,mac os
901765	zx spectrum	zx spectrum
903072	arcade game	arcade game
903751	wii u	game boy advance,wii u,virtual console
903755	nintendo wii	game boy advance,virtual console
904526		
904553	cross-platform	cross-platform
904840	playstation 2	playstation 2,xbox (console)
904856	apple macintosh	microsoft windows,mac os
904955	apple macintosh	microsoft windows,classic mac os,linux
905109	microsoft windows	microsoft windows
906522		
906928	atari 2600	arcade game,atari 2600
908327	nintendo gamecube	gamecube,playstation 2
909695	wii u	linux,mac os x,microsoft windows,beos,playstation portable,wii,wii homebrew,wii u,wii homebrew,homebrew (video games),gp2x wiz,pandora (console),blackberry,ti-nspire,android (operating system),simple directmedia layer
911378	mac os x	microsoft windows,mac os x
911757	nintendo entertainment system	nintendo entertainment system
911805	ms-dos	ms-dos,apple macintosh,world wide web
912999	linux game	microsoft windows,os x,linux
913115	apple ii	arcade game,apple ii,atari 2600,atari 5200,atari 8-bit family,atari st,commodore 64,vic-20,msx,ibm pc,ti-99/4a,trs-80 color computer
913570	arcade game	arcade game
915975	playstation 2	arcade game,playstation 2
916621	playstation 2	playstation 2,xbox (console)
918907	msx2	msx2
920187	sega dreamcast	arcade game,dreamcast,game boy advance,playstation (console),pocketstation,playstation 2,playstation portable,sega saturn
920512	nintendo game boy	game boy,game boy color
920743	sega dreamcast	microsoft windows,dreamcast,mobile phone
920800	sega dreamcast	dreamcast
921313	game boy color	game boy color
921333	nintendo wii	game boy advance,virtual console
921348	nintendo wii	game boy color,virtual console
921415	analog computer	analog computer
921770	sega dreamcast	arcade game,dreamcast
921826	sega dreamcast	arcade game,dreamcast
921904	nintendo wii	super nintendo entertainment system,virtual console
921991	sega saturn	sega saturn,playstation (console),microsoft windows,apple ios
922920	microsoft windows	microsoft windows
923180	nintendo ds	nintendo ds
923288	microsoft windows	microsoft windows
924571	sega dreamcast	microsoft windows,dreamcast,playstation (console),android (operating system)
924676	mac os x	microsoft windows,macintosh
926203	playstation	playstation (console)
926951	arcade game	arcade game
927271	microsoft windows	microsoft windows
927682	nintendo wii	turbografx 16,virtual console
928315	playstation 2	arcade game,mac os x,playstation 2,microsoft windows
930002	microsoft windows	microsoft windows
930300	xbox	xbox (console)
930328		
930819	playstation	playstation (console),playstation network
933469	ms-dos	amiga,atari st,ms-dos
934247		
936043	playstation	playstation (console),game boy advance
936678	atari 7800	arcade game,atari 7800,atari 8-bit family
937210	xbox 360	xbox (console),xbox 360,microsoft windows,mac os x
937577	sega dreamcast	dreamcast
937744	browser game	web browser
937995	sega dreamcast	dreamcast
938757	nintendo 64	arcade game,nintendo 64
938832	nintendo 64	playstation (console),microsoft windows,nintendo 64,dreamcast,gamecube
939156	xbox	xbox (console),microsoft windows,os x,linux
940279	nintendo 64	arcade game,nintendo 64
940354	nintendo 64	nintendo 64
940401	playstation	playstation (console)
941509	nintendo entertainment system	nintendo entertainment system
942346	microsoft windows	microsoft windows
943164	sega mega drive/genesis	sega mega drive,virtual console,cloud computing,onlive
944478	arcade game	arcade game
945475	microsoft windows	microsoft windows
945774	linux game	microsoft windows,os x,linux
946831	super nintendo entertainment system snes	super nes
947219	zx spectrum	arcade game,amstrad cpc,apple ii,atari 8-bit family,atari 2600,atari 7800,colecovision,commodore 64,intellivision,msx,nintendo entertainment system,pc booter,ti-99/4a,commodore vic-20,zx spectrum,game boy advance
947631		
948107	commodore 64	commodore 64,commodore vic-20,ios
948810	playstation 2	playstation 2
949269	playstation	amiga,amiga cd32,3do interactive multiplayer,super nintendo entertainment system,ms-dos,atari jaguar,game boy advance,playstation (console)
949276	nintendo game boy	game boy,super nintendo entertainment system
949280	super nintendo entertainment system snes	super nes,sega genesis
949288	playstation 2	arcade game,super nintendo entertainment system,playstation 2
949294	super nintendo entertainment system snes	sega genesis,super nes,game boy advance
949297	sega mega drive/genesis	sega genesis,super nintendo entertainment system
949299	sega mega drive/genesis	super nintendo entertainment system,sega genesis
949894	zx spectrum	arcade game,amstrad cpc,apple ii,atari 2600,atari 7800,commodore 64,msx,nintendo entertainment system,zx spectrum
950696	arcade game	arcade game
951087	playstation 2	acorn archimedes,risc os,ps2,linux for playstation 2,ibm pc compatible,microsoft windows
951414	super nintendo entertainment system	super nintendo entertainment system
951589	apple macintosh	microsoft windows,apple macintosh
952238	ms-dos	ms-dos,microsoft windows
953112	super nintendo entertainment system	super nintendo entertainment system
953579	linux game	microsoft windows,os x,linux
954344	cross-platform	cross-platform
954779	sega saturn	sega saturn
954858	nintendo game boy	playstation (console),sega saturn,personal computer,game boy,wii,r-zone
955001	apple ii	amiga,apple ii family,atari 8-bit family,atari st,commodore 64,commodore plus/4,ms-dos,trs-80,ti-99/4a
955728	ms-dos	ms-dos,amiga,nec pc-9801
957009	playstation 2	video arcade,namco system 246,playstation 2
957359		
957759	sega dreamcast	dreamcast
958469	commodore amiga	amiga
959060	apple ii	apple ii series,ms-dos,commodore 64,macintosh,fm-7,pc-8801,nec pc-9801,msx,turbografx-16,x1 (computer),x68000,nintendo entertainment system
960507	sega dreamcast	dreamcast,arcade game
961779	ms-dos	amiga,ms-dos,windows 3.1x,macintosh
962452	sega mega cd	ms-dos,amiga,sega cd
963040	nintendo 64	nintendo 64
963105	nintendo 64	nintendo 64,microsoft windows,game boy color,dreamcast
963293	nintendo entertainment system	nintendo entertainment system
963555	microsoft windows	microsoft windows
966895	playstation 2	playstation 2,xbox (console),microsoft windows,playstation portable
967361	cross-platform	cross-platform
968075	ms-dos	ibm pc compatible,dos,amiga,nec pc-9801
969924	ms-dos	mac os,microsoft windows,ms-dos
970018	sony psp	super nintendo entertainment system,playstation portable
970033	playstation 4	playstation (console),playstation portable,playstation 4,playstation vita,playstation 3
970049	playstation 2	playstation 2
970264	microsoft windows	microsoft windows
971056	nintendo gamecube	playstation 2,gamecube,xbox (console),microsoft windows
971445	commodore 64	amiga,atari st,commodore 64,dos
972271	sega mega drive/genesis	amiga,acorn archimedes,sega genesis,ms-dos,nec pc-9801,super nintendo entertainment system,sega cd,fm towns,3do interactive multiplayer,cd-i,atari jaguar,mac os,iphone os,symbian,maemo
972306	3do	ibm pc compatible,ms-dos,3do interactive multiplayer,macintosh,system 7
973152	microsoft windows	microsoft windows
973766	flash game	adobe flash,microsoft windows,linux
974115	zx spectrum	arcade game,amiga,amstrad cpc,apple ii,atari st,commodore 64,ms-dos,nintendo entertainment system,sega master system,virtual console,zx spectrum
974846	sega mega drive/genesis	arcade game,sega genesis,super nintendo entertainment system,playstation (console),game boy,game gear,ibm pc compatible,master system
975798	ms-dos	ms-dos,atari st,amiga
975928	microsoft windows	microsoft windows
977061	sega dreamcast	arcade game,dreamcast
978169	xbox	xbox (console),microsoft windows
980242	playstation	dos,mac os,playstation (console),microsoft windows
980517	apple ii	apple ii,arcade game,commodore 64,ibm pc,nintendo entertainment system
980883		
981617	nintendo gamecube	playstation 2,nintendo gamecube,game boy advance
981849	sega mega cd	ms-dos,amiga,mac os,fm towns,nec pc-9801,sega cd,turbografx-cd,super nintendo entertainment system
983931	apple ii	amiga,amstrad cpc,amstrad pcw,apple ii,apricot pc,atari 8-bit family,atari st,commodore 64,cp/m,dec rainbow,kaypro ii,macintosh,apc iii,osborne 1,ms-dos,pc-9800 series,pdp-9,pdp-10,pdp-11,ti-99/4a,trs-80
